AAPL,MSFT,AMZN,GOOGL,TSLA
16.83712006,12.86550045,18.09934807,22.71778107,2.357332945
16.62459183,12.92399979,18.10985947,22.41345978,2.318000078
16.16152191,12.95750046,18.46771812,21.99397278,2.293333054
16.06645393,13.42300034,18.38713646,21.95284843,2.289333105
16.10969353,13.31900024,18.35085106,21.83769226,2.245332956
15.85791302,13.31750011,18.47147179,21.96106339,2.24266696
16.05449295,13.2670002,18.55555534,21.76366615,2.235332966
15.95605564,13.39700031,18.51826859,22.06799889,2.194000006
15.38718224,13.63650036,18.09934807,22.11734581,2.217333078
14.90172195,13.59500027,18.14139175,22.38055038,2.25999999
15.52027416,13.44649982,17.89764786,22.24072266,2.273333073
15.41570187,13.52400017,17.80080032,22.41345978,2.292000055
15.33351326,13.60599995,17.63038063,22.41345978,2.301332951
15.4797945,13.50949955,17.5893383,22.33120155,2.345999956
15.76315784,13.40550041,18.55605507,22.70955658,2.400000095
13.81549644,13.67300034,18.87412453,22.72600746,2.46600008
13.48980999,14.19950008,18.86061096,22.9316349,2.465332985
13.79494572,13.80200005,18.7870369,22.95631409,2.535332918
14.05377769,13.01749992,18.86086082,23.0385704,2.529999971
14.00961494,13.63799953,18.86461449,22.90696526,2.501332998
13.96852303,13.27499962,18.91116142,22.57795525,2.500667095
13.91117382,13.25,19.40940857,22.97276497,2.553333044
13.56463909,12.9989996,18.99449348,22.56972885,2.516000032
14.04059219,13.34449959,19.16266251,22.61907959,2.542000055
14.0255661,13.11100006,19.27352333,22.48748016,2.611332893
14.44259739,13.01150036,19.36811829,22.43813324,2.631999969
14.65111732,13.09749985,19.65390396,22.66020584,2.615999937
14.80379772,12.86050034,19.58008003,22.91518211,2.561332941
14.43272972,12.93500042,19.5370369,22.9316349,2.526000023
14.40527344,13.47350025,19.59109116,23.05500984,2.563333035
14.39231968,13.46199989,19.71521568,23.06324387,2.551332951
14.19398308,13.25450039,19.84209251,23.0385704,2.469332933
14.18873787,13.48750019,20.19144058,23.2624836,2.618666887
13.84511566,13.32050037,19.83133125,23.11320114,2.569333076
13.75905991,13.29699993,19.90815735,22.79806137,2.344000101
13.9055748,13.27099991,20.01276207,23.02197838,2.407332897
13.65849972,12.99349976,19.78903961,22.69854546,2.292000055
13.84881783,12.96800041,19.77302361,22.69854546,2.295332909
13.71309948,13.16250038,20.01451492,23.06344604,2.339999914
13.61531734,13.21350002,20.05005074,23.0551548,2.322000027
13.2781744,13.2869997,20.17492485,23.17955208,2.309999943
12.95676041,13.65550041,20.55805779,23.3454113,2.371999979
13.29884052,13.77950001,20.98598671,23.51127815,2.443332911
13.12980175,13.68949986,20.80530548,23.2956562,2.512666941
13.28156662,13.69400024,20.83583641,23.33711624,2.548666954
13.31672859,13.70950031,20.80880928,23.22102165,2.564666986
13.50643063,13.56200027,20.89139175,23.11320114,2.606667042
13.2152462,13.70650005,20.71096039,23.14637566,2.60800004
13.21277809,13.75500011,20.65340233,23.1546669,2.598666906
13.34078884,13.2869997,20.55905914,23.33711624,2.456666946
13.68502426,13.0909996,20.37787819,23.25419235,2.352667093
14.05702686,12.89449978,20.21496582,23.30395126,2.343333006
14.01908684,12.82050037,20.30330276,23.37029076,2.338666916
13.94474792,12.86400032,20.38813782,23.48639107,2.396667004
13.96479797,12.66950035,20.30180168,23.31223679,2.400666952
14.24796486,12.88749981,20.27802849,23.42834282,2.441333055
14.29947662,12.80099964,20.26126099,23.35370827,2.502000093
14.22420979,13.01550007,20.33083153,23.35370827,2.523999929
13.94474792,13.26500034,20.08658791,23.52786064,2.54399991
13.65418053,13.32450008,19.87462425,23.7269001,2.526000023
13.23005199,13.08049965,20.04980087,23.7269001,2.928667068
13.25719643,13.16600037,20.3463459,23.88446426,2.95600009
13.32505608,12.95149994,20.17517471,23.68543816,2.74000001
13.19334793,12.95400047,19.8966465,23.71860886,2.800667048
13.05392265,12.77400017,19.59584618,23.80154419,2.757999897
13.14677143,12.94750023,19.39064026,23.71031189,2.788666964
13.17052269,13.05700016,19.46071053,24.55622864,2.700000048
13.43918419,13.23849964,19.77427483,25.111866,2.790667057
13.39723587,13.49250031,19.77952957,24.0005703,2.905999899
13.25750542,13.64350033,19.77102089,23.87618065,2.916666985
12.95058918,13.38599968,19.56781769,23.79325104,2.886667013
13.14769363,13.61699963,19.85410309,24.02544975,3.039333105
12.4246664,13.36999989,19.58358383,23.90934753,3.029999971
12.09307861,12.97099972,19.1669178,23.87618065,3.131333113
12.04619026,13.01599979,20.0167675,24.68891525,3.188667059
12.2972765,13.17749977,20.02277374,25.56799507,3.345999956
12.52738667,13.44499969,20.21771812,25.37724876,3.400666952
12.50672054,13.43900013,20.35660744,26.33926773,3.361999989
12.59678841,13.73499966,20.24774742,26.48854446,3.466666937
12.86884785,12.74050045,20.05555534,26.36414528,3.413332939
